date,hour,visitors
20130310,0,6
20130310,1,10
20130310,2,9
20130310,3,56
20130310,4,1
20130310,5,3
20130310,7,3
20130310,8,8
20130310,9,19
20130310,10,11
20130310,11,31
20130310,12,3
20130310,13,11
20130310,14,15
20130310,15,28
20130310,16,14
20130310,17,16
20130310,18,6
20130310,19,14
20130310,20,14
20130310,21,8
20130310,22,19
20130310,23,8
20130309,0,10
20130309,1,28
20130309,2,21
20130309,3,13
20130309,4,2
20130309,5,3
20130309,6,5
20130309,7,1
20130309,8,5
20130309,9,33
20130309,10,19
20130309,11,17
20130309,12,8
20130309,13,22
20130309,14,5
20130309,15,16
20130309,16,12
20130309,17,39
20130309,18,13
20130309,19,13
20130309,20,5
20130309,21,23
20130309,22,7
20130309,23,12
20130308,0,41
20130308,1,35
20130308,2,18
20130308,3,14
20130308,4,4
20130308,5,4
20130308,6,7
20130308,7,22
20130308,8,21
20130308,9,31
20130308,10,29
20130308,11,37
20130308,12,19
20130308,13,24
20130308,14,16
20130308,15,21
20130308,16,23
20130308,17,36
20130308,18,13
20130308,19,19
20130308,20,26
20130308,21,29
20130308,22,17
20130308,23,8
20130307,0,46
20130307,1,6
20130307,2,11
20130307,3,10
20130307,4,7
20130307,5,18
20130307,6,1
20130307,7,9
20130307,8,13
20130307,9,20
20130307,10,36
20130307,11,41
20130307,12,9
20130307,13,41
20130307,14,57
20130307,15,33
20130307,16,22
20130307,17,70
20130307,18,45
20130307,19,39
20130307,20,41
20130307,21,25
20130307,22,20
20130307,23,181
20130306,0,20
20130306,1,8
20130306,2,8
20130306,3,3
20130306,4,14
20130306,5,1
20130306,6,4
20130306,7,8
20130306,8,13
20130306,9,55
20130306,10,49
20130306,11,91
20130306,12,26
20130306,13,35
20130306,14,23
20130306,15,40
20130306,16,48
20130306,17,83
20130306,18,46
20130306,19,29
20130306,20,27
20130306,21,21
20130306,22,26
20130306,23,23
20130305,0,33
20130305,1,11
20130305,2,5
20130305,3,4
20130305,5,3
20130305,6,2
20130305,7,1
20130305,8,6
20130305,9,13
20130305,10,12
20130305,11,22
20130305,12,24
20130305,13,31
20130305,14,35
20130305,15,23
20130305,16,30
20130305,17,20
20130305,18,27
20130305,19,24
20130305,20,18
20130305,21,24
20130305,22,29
20130305,23,50
20130304,0,8
20130304,1,12
20130304,2,11
20130304,3,2
20130304,4,4
20130304,5,10
20130304,6,13
20130304,7,2
20130304,8,11
20130304,9,15
20130304,10,15
20130304,11,54
20130304,12,92
20130304,13,24
20130304,14,29
20130304,15,37
20130304,16,36
20130304,17,20
20130304,18,18
20130304,19,28
20130304,20,12
20130304,21,28
20130304,22,25
20130304,23,21
20130303,0,9
20130303,1,12
20130303,2,31
20130303,3,7
20130303,4,4
20130303,5,4
20130303,6,3
20130303,7,21
20130303,8,8
20130303,9,22
20130303,10,5
20130303,11,16
20130303,12,13
20130303,13,9
20130303,14,24
20130303,15,19
20130303,16,30
20130303,17,21
20130303,18,20
20130303,19,15
20130303,20,18
20130303,21,11
20130303,22,12
20130303,23,11
20130302,0,15
20130302,1,16
20130302,2,3
20130302,3,26
20130302,4,14
20130302,5,5
20130302,6,5
20130302,7,1
20130302,8,13
20130302,9,6
20130302,10,26
20130302,11,10
20130302,12,7
20130302,13,19
20130302,14,13
20130302,15,17
20130302,16,16
20130302,17,10
20130302,18,27
20130302,19,18
20130302,20,11
20130302,21,17
20130302,22,15
20130302,23,21
20130301,0,10
20130301,1,17
20130301,2,21
20130301,3,16
20130301,4,2
20130301,5,1
20130301,6,9
20130301,7,3
20130301,8,18
20130301,9,39
20130301,10,41
20130301,11,27
20130301,12,35
20130301,13,31
20130301,14,41
20130301,15,37
20130301,16,65
20130301,17,26
20130301,18,19
20130301,19,25
20130301,20,16
20130301,21,19
20130301,22,16
20130301,23,27
20130228,0,11
20130228,1,12
20130228,4,1
20130228,5,9
20130228,7,8
20130228,8,14
20130228,9,26
20130228,10,31
20130228,11,24
20130228,12,9
20130228,13,27
20130228,14,23
20130228,15,46
20130228,16,51
20130228,17,38
20130228,18,29
20130228,19,28
20130228,20,42
20130228,21,33
20130228,22,22
20130228,23,10
20130227,0,26
20130227,1,18
20130227,2,9
20130227,3,11
20130227,4,2
20130227,5,3
20130227,6,12
20130227,7,4
20130227,8,9
20130227,9,18
20130227,10,26
20130227,11,40
20130227,12,33
20130227,13,29
20130227,14,17
20130227,15,29
20130227,16,38
20130227,17,31
20130227,18,18
20130227,19,17
20130227,20,26
20130227,21,25
20130227,22,13
20130227,23,9
20130226,0,14
20130226,1,9
20130226,2,5
20130226,3,11
20130226,4,5
20130226,5,5
20130226,6,4
20130226,7,7
20130226,8,9
20130226,9,33
20130226,10,29
20130226,11,31
20130226,12,21
20130226,13,34
20130226,14,19
20130226,15,28
20130226,16,35
20130226,17,24
20130226,18,42
20130226,19,23
20130226,20,39
20130226,21,25
20130226,22,41
20130226,23,29
20130225,0,9
20130225,1,10
20130225,2,6
20130225,3,1
20130225,4,2
20130225,6,1
20130225,7,17
20130225,8,6
20130225,9,22
20130225,10,36
20130225,11,28
20130225,12,36
20130225,13,25
20130225,14,35
20130225,15,35
20130225,16,27
20130225,17,24
20130225,18,24
20130225,19,23
20130225,20,29
20130225,21,13
20130225,22,10
20130225,23,10
20130224,0,19
20130224,1,11
20130224,2,37
20130224,3,6
20130224,4,9
20130224,5,8
20130224,7,10
20130224,8,5
20130224,9,10
20130224,10,6
20130224,11,7
20130224,12,13
20130224,13,7
20130224,14,5
20130224,15,8
20130224,16,12
20130224,17,9
20130224,18,10
20130224,19,8
20130224,20,16
20130224,21,11
20130224,22,15
20130224,23,17
20130223,0,11
20130223,1,10
20130223,2,7
20130223,3,2
20130223,4,2
20130223,5,4
20130223,6,2
20130223,8,5
20130223,9,2
20130223,10,41
20130223,11,13
20130223,12,8
20130223,13,19
20130223,14,13
20130223,15,11
20130223,16,13
20130223,17,15
20130223,18,21
20130223,19,13
20130223,20,12
20130223,21,16
20130223,22,19
20130223,23,19
20130222,0,19
20130222,1,7
20130222,2,13
20130222,3,2
20130222,4,3
20130222,6,5
20130222,7,18
20130222,8,5
20130222,9,15
20130222,10,43
20130222,11,50
20130222,12,18
20130222,13,43
20130222,14,27
20130222,15,35
20130222,16,37
20130222,17,18
20130222,18,42
20130222,19,61
20130222,20,47
20130222,21,19
20130222,22,22
20130222,23,29
20130221,0,13
20130221,1,11
20130221,2,14
20130221,3,2
20130221,4,1
20130221,5,2
20130221,6,8
20130221,7,7
20130221,8,11
20130221,9,20
20130221,10,15
20130221,11,33
20130221,12,15
20130221,13,16
20130221,14,35
20130221,15,35
20130221,16,51
20130221,17,40
20130221,18,23
20130221,19,39
20130221,20,15
20130221,21,27
20130221,22,16
20130221,23,40
20130220,0,15
20130220,1,2
20130220,2,6
20130220,3,6
20130220,4,1
20130220,5,3
20130220,6,2
20130220,7,5
20130220,8,7
20130220,9,19
20130220,10,35
20130220,11,24
20130220,12,17
20130220,13,28
20130220,14,12
20130220,15,18
20130220,16,25
20130220,17,27
20130220,18,24
20130220,19,19
20130220,20,14
20130220,21,19
20130220,22,19
20130220,23,18
20130219,0,17
20130219,1,17
20130219,2,6
20130219,3,3
20130219,4,4
20130219,5,2
20130219,6,1
20130219,7,6
20130219,8,9
20130219,9,19
20130219,10,45
20130219,11,34
20130219,12,26
20130219,13,34
20130219,14,30
20130219,15,35
20130219,16,30
20130219,17,18
20130219,18,25
20130219,19,27
20130219,20,14
20130219,21,15
20130219,22,16
20130219,23,19
20130218,0,38
20130218,1,20
20130218,2,7
20130218,3,6
20130218,4,1
20130218,5,3
20130218,6,7
20130218,7,4
20130218,8,11
20130218,9,13
20130218,10,27
20130218,11,46
20130218,12,48
20130218,13,54
20130218,14,41
20130218,15,39
20130218,16,26
20130218,17,31
20130218,18,31
20130218,19,27
20130218,20,23
20130218,21,39
20130218,22,23
20130218,23,15
20130217,0,14
20130217,1,29
20130217,2,6
20130217,3,4
20130217,4,4
